,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,num_cats
0,Dougie,5,1,Senior,Domestic Short Hair,,Medium,Female,,,"Spayed / neutered, special needs.",,,,,362.0,City Critters Inc.,thirty_day_spec_needs,1
1,Elias,6,1,Adult,Domestic Short Hair,,Medium,Male,,,"Spayed / neutered, special needs.",,,,,168.0,City Critters Inc.,thirty_day_spec_needs,1
2,Beanie,5,0,Senior,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs. early stage kidney disease - no medications or prescription diets required at this time but may be needed in the future.",,,Other cats.,Short,141.0,City Critters Inc.,thirty_day_spec_needs,1
3,Jalapeno - NYC,6,0,Young,Domestic Short Hair,Black,Medium,Female,FIV positive,,"Vaccinations up to date, spayed / neutered, special needs.",,,,,285.0,Best Friends Animal Society - East Coast Life…,thirty_day_spec_needs,1
4,Bambi - NYC,6,0,Adult,Domestic Short Hair,Black,Medium,Female,FIV positive,,"Vaccinations up to date, spayed / neutered, special needs.",,,,,180.0,Best Friends Animal Society - East Coast Life…,thirty_day_spec_needs,1
5,Lily,5,1,Adult,Tabby,Tabby (Brown / Chocolate),Medium,Female,"Gentle, Calm, Sweet, Quiet",Yes,"Vaccinations up to date, spayed / neutered, special needs. Lily is Hyperthyroid which it's well-handled with medications.",,,Children.,Short,164.0,Ready For Rescue,thirty_day_spec_needs,1
6,Zoomie,5,1,Senior,Tabby & Domestic Short Hair Mix,Orange / Red,Medium,Male,"Sweet, Affectionate, Loving, Playful",Yes,"Vaccinations up to date, spayed / neutered, special needs. Zoomie is on medication twice a day to help him go to the bathroom regularly. He takes his medication very easily, like a very good boy. His medications keep things smooth sailing!.",,,Children.,Short,176.0,Ready For Rescue,thirty_day_spec_needs,1
7,Cinnamon,0,0,Adult,Domestic Short Hair,Calico,Medium,Female,"calm, quiet, playful, beautiful",Yes,"Vaccinations up to date, spayed / neutered, special needs. Cinnamon will need a patient adopter who will give her time to adjust to her new home.",,,,Short,89.0,RescueNYC,thirty_day_spec_needs,1
8,Felix,5,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Cuddly, Adventurous, Playful, Snuggly",Yes,"Vaccinations up to date, spayed / neutered, special needs. Blind.",,$150.00,,Short,385.0,Fur Real,thirty_day_spec_needs,1
9,Pioneer Helen,3,0,Senior,Domestic Short Hair,,Medium,Female,,Yes,"Spayed / neutered, special needs.",Other cats.,,,,171.0,Brooklyn Bridge Animal Welfare Coalition,thirty_day_spec_needs,1
10,Carrie,4,1,Kitten,Domestic Short Hair,White,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Funny, Quiet, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,Short,238.0,Animal Lighthouse Rescue,spec_needs_other,1
11,Ruby,2,0,Senior,Domestic Short Hair,Black,Small,Female,"Tiny, Loves other cats, Loves to be petted, Calm, Senior, Tongue peeks out, Cute, Rescues Rock",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,Short,227.0,North Brooklyn Cats,thirty_day_spec_needs,1
12,Tostitos (SPECIAL BEHAVIOR NEEDS) FEE WAIVED,2,1,Adult,Domestic Short Hair Mix,Black,Medium,Male,", Independent, Dignified",Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,"Dogs, children.",Short,419.0,Liberty Humane Society,thirty_day_spec_needs,1
13,Negrita,6,0,Adult,Domestic Short Hair,Black,Small,Female,"Sugar Sweet and Petite, Darling Bud, Purr machine",Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV Positive.",Dogs.,,,Short,208.0,"Tails of Love Animal Rescue, Inc.",thirty_day_spec_needs,1
14,Sara,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Eye issue.","Other cats, dogs.",,,,81.0,Final Hope Animal Rescue and Sanctuary,thirty_day_spec_needs,1
15,Tessa,6,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Spayed / neutered, special needs. FIV+.",Other cats.,,,,45.0,Final Hope Animal Rescue and Sanctuary,thirty_day_spec_needs,1
16,Carla,4,0,Adult,Domestic Short Hair & Calico Mix,,Large,Female,,Yes,"Spayed / neutered, special needs. FELV+.",Other cats.,$175.00,,,27.0,Final Hope Animal Rescue and Sanctuary,thirty_day_spec_needs,1
17,Lucky,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,Yes,"Spayed / neutered, special needs. heart issue.",Other cats.,,,,44.0,Final Hope Animal Rescue and Sanctuary,thirty_day_spec_needs,1
18,James,5,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,Yes,"Spayed / neutered, special needs. Felv+.",Other cats.,,,,31.0,Final Hope Animal Rescue and Sanctuary,thirty_day_spec_needs,1
19,Ghost,3,0,Young,Domestic Short Hair,,Medium,Female,,Yes,"Spayed / neutered, special needs.",,,,,271.0,Good Home Pet Adoptions,thirty_day_spec_needs,1
20,Althea - super special (needs) girl,2,0,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Spayed / neutered, special needs.","Other cats, children.",,,,302.0,Brooklyn Animal Action,thirty_day_spec_needs,1
21,"Nevertheless, Ava Persisted",3,0,Young,Domestic Short Hair,,Medium,Female,,Yes,"Spayed / neutered, special needs.",Other cats.,,,,377.0,Brooklyn Animal Action,thirty_day_spec_needs,1
22,Lea,0,0,Adult,Domestic Short Hair,Black,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,,45.0,Heart and Hand Society,thirty_day_spec_needs,1
23,Tommy,0,0,Adult,Domestic Medium Hair,Orange & White,Large,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,,29.0,Heart and Hand Society,thirty_day_spec_needs,1
24,Cassandra,0,0,Senior,Tuxedo & Domestic Short Hair Mix,Black & White / Tuxedo,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,"Other cats, dogs, children.",,37.0,Heart and Hand Society,thirty_day_spec_needs,1
25,Floricito,5,0,Senior,Tabby Mix,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,120.0,Joyrides Rescue,spec_needs_other,1
26,Newton,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,", Friendly, Affectionate, Gentle, Playful, Independent, Curious, Brave, Smart, Funny, Athletic",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Dogs, children.",,"Other cats, other animals. Good with dogs!.",Short,157.0,JerseyCats,thirty_day_spec_needs,1
